id;started_at;finished_at;status;found_count;processed_count;error_message
1;2026-06-22T19:44:45;2026-06-22T08:32:10;FAILED;9115;8963;coordination inasmuch popularize
2;2026-06-22T17:59:53;2026-06-22T13:55:27;RUNNING;30648;11892;happily although part
3;2026-06-22T11:58:46;2026-06-22T07:00:24;RUNNING;12925;24833;under modulo yippee
4;2026-06-22T05:11:19;2026-06-22T00:43:16;SUCCESS;14075;648;ascribe
5;2026-06-21T20:50:22;2026-06-22T08:46:54;FAILED;12955;29601;why acidly about
6;2026-06-22T09:07:02;2026-06-22T08:31:58;FAILED;24323;9805;about
7;2026-06-22T10:14:26;2026-06-22T19:19:16;FAILED;15407;19882;newsletter
8;2026-06-22T13:51:02;2026-06-21T22:02:18;FAILED;30808;28339;which upon
9;2026-06-21T23:59:26;2026-06-22T15:28:50;FAILED;12194;7354;cram striking
10;2026-06-21T21:47:51;2026-06-22T13:32:53;SUCCESS;14980;833;stark culture
11;2026-06-22T14:21:41;2026-06-22T09:40:09;FAILED;345;13603;wetly yawn duh
12;2026-06-22T18:07:40;2026-06-22T14:47:23;SUCCESS;4047;908;talkative
13;2026-06-22T03:37:45;2026-06-22T19:17:15;SUCCESS;1242;20318;secret
14;2026-06-21T21:15:59;2026-06-21T22:47:01;FAILED;11949;20393;livid better under
15;2026-06-21T22:18:13;2026-06-22T17:48:58;FAILED;17729;21180;fax
16;2026-06-22T14:30:18;2026-06-22T07:36:44;SUCCESS;5038;22465;ceramics
17;2026-06-22T05:09:34;2026-06-21T22:17:25;RUNNING;12790;13516;usually instantly fast
18;2026-06-22T01:05:45;2026-06-22T01:27:58;FAILED;11379;29457;healthily acknowledge first
19;2026-06-22T15:19:56;2026-06-22T18:50:11;RUNNING;5993;3664;across
20;2026-06-22T17:44:13;2026-06-22T09:43:43;SUCCESS;28092;11394;yuck
21;2026-06-22T03:09:47;2026-06-22T09:07:55;SUCCESS;6277;23773;where reassuringly inside
22;2026-06-21T21:14:52;2026-06-21T23:48:31;FAILED;23815;5209;who
23;2026-06-21T22:43:53;2026-06-22T12:24:30;SUCCESS;16153;15838;beside
24;2026-06-21T22:11:42;2026-06-22T12:08:39;SUCCESS;6675;30818;once
25;2026-06-22T00:43:09;2026-06-22T15:20:45;SUCCESS;19389;27936;unsung jell rotating
26;2026-06-22T18:42:24;2026-06-22T13:53:55;RUNNING;23297;1846;drain jubilant sleepy
27;2026-06-22T02:06:01;2026-06-22T13:29:41;SUCCESS;6350;27832;loudly at concerning
28;2026-06-22T02:50:39;2026-06-22T10:02:18;SUCCESS;7668;2515;gee
29;2026-06-22T20:04:42;2026-06-22T07:46:49;FAILED;21191;12767;if vary
30;2026-06-21T22:41:36;2026-06-22T07:25:11;FAILED;14908;19955;within pish
