id;competitor_name;website_url;industry;description;is_active
1;yowza gad gleefully;enrich;drat story hmph;godfather dreary as;true
2;or napkin;pendant separate thump;amidst inside even;after;true
3;colligate overwork eyeglasses;where wheel council;drat while;since unless whoever;true
4;recount;against dramatize when;phooey gracefully;for whirlwind beneath;true
5;odd;above yahoo;morbidity jubilantly;hmph phooey ack;true
6;average recklessly deflect;ugh;dreary brr;which why hence;false
7;anenst;eek tune;sunny from;yawningly huzzah;false
8;given before;suckle;absent;convince sell;false
9;focalise;e-mail even furthermore;maul until;but unless;true
10;mmm;grandson;boo;afore reword yieldingly;false
11;smog ah;old-fashioned since stunning;outdo;but likewise energetically;true
12;fairly save rationalize;browse amongst;faithfully;minority zowie above;false
13;once before how;memorable continually;pillory;meaningfully round epic;true
14;after if eek;dutiful;resolve boohoo pish;minus fervently;false
15;upwardly;eyeglasses;speedy;after;false
16;except;frankly wiggly;gee;developmental;false
17;pro;language;safe;outside;true
18;brilliant;unimpressively;analyse which wrongly;instead;true
19;oh lest armoire;whenever;naturally slather concerning;fuss;false
20;stool wherever;meh;hypothesize;uniform scented;true
21;athwart rigidly;hmph;however reboot jacket;times yippee whenever;false
22;evil phooey;nor;spring if;excepting fort bootleg;true
23;pfft;properly;ha emphasize;rosemary;false
24;jovially modulo;unexpectedly warp;vain championship including;circa;true
25;because apologise sleepily;fooey summer extremely;eek;geez;true
26;huzzah minus peppery;nor famously shakily;regarding;oof sheepishly;false
27;why;nor annually ick;yippee whoa lest;duh;false
28;record pish;even wicked through;hm impractical deliberately;into huzzah;false
29;mortise;content provided assured;pfft sardonic;well-off;true
30;acidly encouragement;yippee forgo;drat;coordination;false
