id;source_name;url;source_type;is_active;last_checked_at;created_at;competitor_id
1;tune-up;https://greedy-knuckle.net;WEBSITE;true;2026-06-21T21:58:04;2026-06-22T17:26:37;1
2;gee;https://jubilant-overheard.org/;RSS;false;2026-06-22T03:12:35;2026-06-22T08:30:55;2
3;eminent hence;https://every-yogurt.com/;RSS;true;2026-06-22T05:47:45;2026-06-22T06:15:22;3
4;premise whether opposite;https://noteworthy-loyalty.net;API;true;2026-06-22T16:25:47;2026-06-22T04:50:33;4
5;rear meh though;https://elderly-plumber.org/;API;false;2026-06-22T00:46:58;2026-06-22T18:08:58;5
6;ack teriyaki;https://impure-charm.net/;API;true;2026-06-21T21:59:49;2026-06-22T12:33:19;6
7;ah which;https://accurate-cheese.info;API;true;2026-06-22T12:19:21;2026-06-22T02:14:58;7
8;or likewise solidly;https://rough-arcade.info/;WEBSITE;true;2026-06-22T12:12:39;2026-06-22T04:52:04;8
9;basic;https://unfinished-lamp.name/;API;false;2026-06-22T16:56:43;2026-06-22T03:28:46;9
10;beside;https://dark-carnival.biz;API;true;2026-06-21T22:19:59;2026-06-22T11:52:21;10
11;or supposing among;https://hungry-mathematics.info/;WEBSITE;false;2026-06-22T16:01:14;2026-06-22T00:06:49;11
12;but;https://usable-diver.info;RSS;true;2026-06-22T19:19:06;2026-06-22T08:19:09;12
13;mobility;https://yellowish-quit.info/;API;false;2026-06-22T17:42:29;2026-06-22T20:42:00;13
14;yuppify cavernous;https://cool-runway.com/;WEBSITE;false;2026-06-22T11:24:52;2026-06-22T15:16:53;14
15;cannon helpfully;https://oval-cafe.net/;WEBSITE;false;2026-06-22T19:12:04;2026-06-22T07:46:24;15
16;whoa whoa;https://hungry-jump.info/;API;false;2026-06-22T08:43:25;2026-06-22T17:52:52;16
17;apud spear seemingly;https://gracious-individual.net/;RSS;false;2026-06-21T23:08:28;2026-06-22T10:48:02;17
18;whenever;https://regular-lyre.info/;API;true;2026-06-22T10:08:20;2026-06-22T19:46:55;18
19;consequently;https://key-heroine.biz;WEBSITE;true;2026-06-22T18:30:25;2026-06-22T04:11:19;19
20;foolhardy matter;https://supportive-offset.com;WEBSITE;true;2026-06-22T13:48:06;2026-06-21T21:04:10;20
21;within clear-cut;https://confused-galoshes.org;WEBSITE;false;2026-06-22T10:22:31;2026-06-22T09:33:58;21
22;since surge freely;https://hoarse-peninsula.info/;WEBSITE;false;2026-06-22T03:55:20;2026-06-22T06:12:09;22
23;vet palate internalize;https://noted-rawhide.name/;API;true;2026-06-22T08:33:59;2026-06-22T10:09:21;23
24;highlight;https://cooperative-haversack.name/;RSS;true;2026-06-22T03:19:07;2026-06-22T00:01:26;24
25;after;https://grave-blowgun.name;WEBSITE;false;2026-06-22T04:44:42;2026-06-22T10:38:15;25
26;mid because;https://trusty-colonialism.org/;WEBSITE;false;2026-06-22T17:00:54;2026-06-22T11:12:45;26
27;trained;https://violent-hose.biz/;RSS;true;2026-06-21T21:50:24;2026-06-21T21:59:04;27
28;whereas apricot now;https://immediate-hammock.com;WEBSITE;false;2026-06-22T09:00:52;2026-06-22T02:47:43;28
29;aw monstrous ugh;https://trusting-corporation.net/;WEBSITE;false;2026-06-22T17:36:13;2026-06-22T16:06:41;29
30;attribute exasperation;https://darling-fun.info/;WEBSITE;false;2026-06-22T12:47:58;2026-06-22T06:17:29;30
