id;value;is_active;created_at;competitor_id
1;popularize;true;2026-06-22T04:55:19;1
2;supposing doubtfully;false;2026-06-22T00:01:38;2
3;likewise;true;2026-06-21T20:59:39;3
4;investigate;true;2026-06-22T00:46:42;4
5;bend egg;true;2026-06-22T00:42:05;5
6;clumsy chunter powerfully;false;2026-06-21T22:09:35;6
7;reassuringly round;true;2026-06-22T11:45:57;7
8;where;false;2026-06-22T19:55:23;8
9;fooey;true;2026-06-22T15:09:47;9
10;notwithstanding;false;2026-06-22T15:36:27;10
11;pro;false;2026-06-22T17:38:55;11
12;redress bah tough;false;2026-06-22T18:59:39;12
13;quietly via through;true;2026-06-22T17:43:46;13
14;or;false;2026-06-22T16:26:28;14
15;connect;false;2026-06-22T17:36:07;15
16;interestingly gah disappointment;false;2026-06-22T06:42:53;16
17;before blond;true;2026-06-21T22:50:47;17
18;because oh;false;2026-06-22T15:09:24;18
19;intellect;false;2026-06-22T11:34:56;19
20;meh;true;2026-06-22T00:46:17;20
21;majority;false;2026-06-22T06:35:25;21
22;apropos miserably;true;2026-06-22T14:51:33;22
23;internalize;true;2026-06-22T19:07:02;23
24;modulo;true;2026-06-21T23:04:28;24
25;councilman phooey exasperation;true;2026-06-22T04:08:02;25
26;whose;true;2026-06-22T13:39:23;26
27;outside lid;false;2026-06-22T20:00:00;27
28;fatherly worth;true;2026-06-21T22:15:50;28
29;bob consequently including;true;2026-06-22T06:36:49;29
30;lonely furiously;true;2026-06-22T19:47:17;30
